idx,price,beds,bath,sqft,lot_size,address,lat,long
174,174,1549999.0,4.0,3.0,2453.0,3642.0,"15876 Babcock St, San Diego, CA 92127",33.0178361,-117.1302668
175,175,649999.0,3.0,2.0,1496.0,6352.0,"6435 Bullock Dr, San Diego, CA 92114",32.6923575,-117.058928
176,176,2975000.0,,4.0,4779.0,,"3651-55 Kite, San Diego, CA 92103",32.7445169,-117.1745321
177,177,745000.0,2.0,2.5,978.0,,"8272 Gilman Dr Unit 24, La Jolla, CA 92037",32.8557536,-117.2378663
178,178,575000.0,1.0,1.0,835.0,,"4064 Nobel Dr Unit 104, San Diego, CA 92122",32.8682732,-117.2194072
179,179,699000.0,4.0,2.0,1784.0,6900.0,"6007 Chadwick Ave, San Diego, CA 92139",32.6681285,-117.0587441
180,180,1111000.0,3.0,2.5,1865.0,3595.0,"13866 Fontanelle Pl, San Diego, CA 92128",32.9708185,-117.078236
181,181,899999.0,3.0,2.5,1444.0,,"10555 Matinal Cir, San Diego, CA 92127",33.038509,-117.087527
182,182,1750000.0,3.0,3.0,2141.0,8932.0,"3871 Keating St, San Diego, CA 92103",32.7477331,-117.1782872
183,183,2299000.0,5.0,4.0,3294.0,8140.0,"4516 Shorepointe Way, San Diego, CA 92130",32.9248529,-117.2187625
184,184,2775000.0,4.0,2.0,2900.0,0.3,"8515 Prestwick Dr, La Jolla, CA 92037",32.8615867,-117.246622
185,185,549000.0,3.0,2.0,1462.0,7500.0,"1532 Village Pine Way, San Ysidro, CA 92173",32.568178,-117.071356
186,186,785000.0,2.0,2.5,1322.0,,"6019 Cirrus St, San Diego, CA 92110",32.76742300000001,-117.185775
187,187,615000.0,2.0,2.0,1118.0,,"17607 Pomerado Rd Unit 101, San Diego, CA 92128",33.0344088,-117.0588645
188,188,1124000.0,2.0,2.0,1094.0,,"5433 LA Jolla Blvd, La Jolla, CA 92037",32.8119507,-117.2671804
189,189,525000.0,1.0,1.0,600.0,,"8889 Caminito Plaza Centro Unit 7305, San Diego, CA 92122",32.8691673,-117.2257705
190,190,799000.0,2.0,2.0,965.0,,"350 K St Unit 614, San Diego, CA 92101",32.7086396,-117.1614686
191,191,1699000.0,5.0,3.0,2904.0,0.26,"11011 Ipai Ct, San Diego, CA 92127",33.0321941,-117.093957
192,192,1037000.0,3.0,2.5,1556.0,2382.0,"11053 Caminito Dulce, San Diego, CA 92131",32.9231982,-117.0658788
193,193,745000.0,2.0,2.0,942.0,12.2,"3533 Voyager Cir, San Diego, CA 92130",32.9517753,-117.2424423
194,194,630000.0,3.0,3.0,1614.0,7900.0,"7084 Madrone Ave, San Diego, CA 92114",32.7082177,-117.0448136
195,195,2000000.0,4.0,4.0,2400.0,6996.0,"4541 Oregon St, San Diego, CA 92116",32.760023,-117.1347247
196,196,1190000.0,3.0,2.0,1762.0,3002.0,"3068-70 Polk Ave, San Diego, CA 92104",32.75241370000001,-117.1284096
197,197,475000.0,2.0,2.0,1034.0,,"1911 Bluehaven Ct, San Diego, CA 92154",32.5591582,-117.0658789
198,198,1159900.0,3.0,2.0,1928.0,0.68,"5853 Del Cerro Blvd W, San Diego, CA 92120",32.7839388,-117.0734092
199,199,370000.0,3.0,2.0,870.0,,"221 S 47th St Unit 10, San Diego, CA 92113",32.7028766,-117.0933612
200,200,605000.0,3.0,2.0,1041.0,5300.0,"7291 Jamacha Rd, San Diego, CA 92114",32.7106077,-117.0417331
201,201,1575000.0,3.0,2.5,1800.0,5597.0,"4176 Caminito Terviso, San Diego, CA 92122",32.8582343,-117.2239994
202,202,699000.0,4.0,2.0,1460.0,0.36,"7727 Dry Creek Pl, San Diego, CA 92114",32.7156845,-117.034731
203,203,1680000.0,3.0,2.5,2208.0,4219.0,"4325 Corte De La Fonda, San Diego, CA 92130",32.9489638,-117.2232644
204,204,860000.0,3.0,2.0,1220.0,9100.0,"2418 Crandall Dr, San Diego, CA 92111",32.7878289,-117.1661108
205,205,2850000.0,4.0,4.5,2873.0,9400.0,"3621 Moultrie Ave, San Diego, CA 92117",32.8047439,-117.2088856
206,206,1075000.0,3.0,2.0,1384.0,0.26,"11306 Vista La Cuesta Dr, San Diego, CA 92131",32.9064937,-117.0887627
207,207,699000.0,3.0,2.0,1311.0,,"16266 Avenida Venusto Unit E, San Diego, CA 92128",33.0099103,-117.0762133
208,208,1499999.0,3.0,3.5,2229.0,4.22,"8357 Summit Way, San Diego, CA 92108",32.783322,-117.1483734
209,209,775000.0,2.0,2.0,1080.0,,"2774 Bellezza Dr, San Diego, CA 92108",32.7867953,-117.1293704
210,210,1225000.0,4.0,2.0,1808.0,6397.0,"17868 Creciente Way, San Diego, CA 92127",33.0425999,-117.0817526
211,211,1499000.0,2.0,2.0,1269.0,5904.0,"3033 Elliott St, San Diego, CA 92106",32.7403024,-117.2168791
212,212,910000.0,2.0,2.0,1597.0,,"13034 Caminito Vilos, San Diego, CA 92128",33.0325999,-117.0507329
213,213,720000.0,2.0,2.5,1216.0,2.07,"9950 Scripps Vista Way Unit 128, San Diego, CA 92131",32.9255224,-117.1127473
214,214,839900.0,2.0,2.0,1562.0,,"3890 Nobel Dr Unit 1802, San Diego, CA 92122",32.8687994,-117.2230067
215,215,1200000.0,3.0,2.0,1614.0,5719.0,"8546 Boothbay Pl, San Diego, CA 92129",32.9513621,-117.140745
216,216,409000.0,1.0,1.0,721.0,0.78,"1465 C St Unit 3511, San Diego, CA 92101",32.7464187,-117.1482604
217,217,690000.0,4.0,2.0,2277.0,6318.0,"2570 Biola Ave, San Diego, CA 92154",32.5635615,-117.0796611
218,218,1400000.0,5.0,3.0,2234.0,,"3365 Hopi Pl, San Diego, CA 92117",32.8264714,-117.2158684
219,219,899000.0,3.0,2.0,1737.0,2.62,"12211 Bajada Rd, San Diego, CA 92128",33.0287447,-117.0717123
